epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1343.73,0.47921,0.70641,0.85515,0.87001,0.91069,0.8956,0.80405,0.35044,0.8639,0.81286,0.000494885,0.000494885,0.000494885
43,1373.78,0.43292,0.70624,0.854,0.8571,0.90852,0.89733,0.79873,0.37202,0.90488,0.81983,0.000486639,0.000486639,0.000486639
44,1404.13,0.46059,0.74722,0.85203,0.83903,0.84903,0.87948,0.77303,0.37878,0.89668,0.81627,0.000478392,0.000478392,0.000478392
45,1433.93,0.48078,0.77103,0.85309,0.82398,0.82719,0.86424,0.76432,0.35706,0.86178,0.80919,0.000470145,0.000470145,0.000470145
46,1464.34,0.46439,0.76205,0.85737,0.87447,0.85192,0.85537,0.77181,0.34967,0.82548,0.80941,0.000461898,0.000461898,0.000461898
47,1494.29,0.45136,0.70948,0.84389,0.88414,0.85656,0.86055,0.77062,0.36164,0.82971,0.81067,0.000453652,0.000453652,0.000453652
48,1524.35,0.45952,0.70524,0.85848,0.88293,0.85179,0.87251,0.78617,0.34837,0.80339,0.80418,0.000445405,0.000445405,0.000445405
49,1554.37,0.43421,0.7304,0.83505,0.88897,0.84849,0.87945,0.79172,0.34006,0.77341,0.80752,0.000437158,0.000437158,0.000437158
50,1584.3,0.42436,0.68447,0.83575,0.89419,0.83847,0.89382,0.8156,0.34259,0.77135,0.81572,0.000428912,0.000428912,0.000428912
51,1614.2,0.43058,0.66321,0.85111,0.90472,0.85374,0.90223,0.82536,0.34658,0.77554,0.81906,0.000420665,0.000420665,0.000420665
52,1644.48,0.45756,0.71383,0.86887,0.89883,0.83894,0.88831,0.82545,0.3492,0.79405,0.8183,0.000412418,0.000412418,0.000412418
53,1674.36,0.44262,0.67453,0.83885,0.89237,0.83988,0.89825,0.81541,0.3311,0.79084,0.81633,0.000404172,0.000404172,0.000404172
54,1704.65,0.45178,0.6865,0.85118,0.89742,0.83839,0.89873,0.80685,0.34203,0.78343,0.81671,0.000395925,0.000395925,0.000395925
55,1734.57,0.45996,0.67953,0.84213,0.89403,0.84398,0.89793,0.79653,0.34471,0.77216,0.81465,0.000387678,0.000387678,0.000387678
56,1764.62,0.42564,0.65081,0.83719,0.87795,0.851,0.88485,0.80264,0.32922,0.76217,0.80804,0.000379431,0.000379431,0.000379431
57,1794.57,0.44022,0.67687,0.86335,0.86431,0.84981,0.88593,0.80575,0.32852,0.75848,0.80894,0.000371185,0.000371185,0.000371185
58,1824.67,0.38497,0.62446,0.84469,0.86342,0.82713,0.89599,0.81907,0.32629,0.75751,0.80357,0.000362938,0.000362938,0.000362938
59,1854.61,0.44312,0.64499,0.85395,0.78168,0.92393,0.89351,0.81554,0.33001,0.7592,0.80157,0.000354691,0.000354691,0.000354691
60,1884.63,0.44602,0.65041,0.8391,0.87222,0.81725,0.89563,0.82764,0.30987,0.75705,0.80349,0.000346445,0.000346445,0.000346445
61,1914.82,0.4415,0.65219,0.84307,0.87039,0.83961,0.89794,0.82066,0.31712,0.75153,0.80775,0.000338198,0.000338198,0.000338198
62,1944.93,0.433,0.67185,0.84568,0.85542,0.89379,0.90252,0.8163,0.33274,0.75677,0.80668,0.000329951,0.000329951,0.000329951
63,1974.85,0.41207,0.59363,0.82795,0.85798,0.90301,0.90223,0.82884,0.32936,0.75613,0.80493,0.000321705,0.000321705,0.000321705
64,2005.03,0.4268,0.65609,0.84243,0.86832,0.88618,0.90155,0.83833,0.30142,0.73885,0.80183,0.000313458,0.000313458,0.000313458
65,2034.83,0.41261,0.65439,0.83505,0.86202,0.8858,0.90151,0.83751,0.30767,0.72244,0.80285,0.000305211,0.000305211,0.000305211
66,2064.77,0.40723,0.65256,0.83853,0.89776,0.89369,0.91366,0.84649,0.311,0.71078,0.79678,0.000296964,0.000296964,0.000296964
